LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NORWAY,GDEXPRD,TOT,PC_GDP,A,0,1.562312051,1.630580042,1.680358209,1.545061367,1.483165422,1.455975501,1.564006523,1.553457193,1.722792631,1.648550606,1.625335553,1.618575609,1.650039424,1.711872729,1.930948047,2.03074027,2.109677316,
,,,,,,,,,,,,,,,,,,,,,,,
POLAND,GDEXPRD,TOT,PC_GDP,A,0.642018971,0.622841274,0.557845989,0.538838911,0.552514195,0.56281475,0.550819574,0.561887159,0.599205797,0.660971223,0.720695663,0.745884669,0.880856744,0.870531929,0.939776684,1.003245145,0.964101032,1.034755849,
,,,,,,,,,,,,,,,,,,,,,,,
PORTUGAL,GDEXPRD,TOT,PC_GDP,A,0.721270402,0.764522342,0.721444434,0.697586933,0.728709684,0.757070432,0.954546987,1.124270968,1.445204665,1.579725445,1.53257249,1.456831329,1.377767686,1.326410846,1.289727922,1.242634819,1.280813612,1.316820992,
,,,,,,,,,,,,,,,,,,,,,,,
SLOVAKIA,GDEXPRD,TOT,PC_GDP,A,0.639272055,0.625651943,0.563889429,0.562473647,0.50149238,0.494006781,0.475629255,0.448235051,0.462040883,0.473258066,0.616137037,0.663256319,0.804947659,0.823617666,0.880078541,1.171711649,0.788952336,0.88267211,
,,,,,,,,,,,,,,,,,,,,,,,
SPAIN,GDEXPRD,TOT,PC_GDP,A,0.884949787,0.890194102,0.960049807,1.022193182,1.038490051,1.095770853,1.172174868,1.234482253,1.317063585,1.351341335,1.349614454,1.325078972,1.287883595,1.268586019,1.235354532,1.218315428,1.185258813,1.204816178,
,,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,GDEXPRD,TOT,PC_GDP,A,0,3.907851877,0,3.609770436,3.387369975,3.38312348,3.496088721,3.252728051,3.491041758,3.445980858,3.212617883,3.245222741,3.277723726,3.302517608,3.142612458,3.264181754,3.269230375,3.327070457,
,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,GDEXPRD,TOT,PC_GDP,A,2.323443699,0,0,0,2.67269187,0,0,0,2.714716175,0,0,0,3.186233046,0,0,3.371602219,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
TURKEY,GDEXPRD,TOT,PC_GDP,A,0.467834616,0.526381418,0.512937952,0.469448489,0.502148744,0.569307455,0.557492023,0.691817052,0.692919861,0.809399417,0.798920545,0.799880433,0.832165067,0.818213788,0.860768439,0.881503008,0.944642851,0.96105343,
,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,GDEXPRD,TOT,PC_GDP,A,1.626487941,1.61902814,1.625402804,1.589499356,1.542296402,1.561199148,1.582854788,1.621652777,1.623071017,1.682499432,1.660633992,1.664878939,1.593822536,1.639376,1.659148889,1.668179629,1.682112023,1.663813305,
,,,,,,,,,,,,,,,,,,,,,,,
USA,GDEXPRD,TOT,PC_GDP,A,2.628793192,2.648296295,2.559256605,2.564546092,2.502429643,2.516968141,2.557640249,2.631605897,2.767907906,2.812699236,2.735402732,2.765254833,2.681662112,2.709711275,2.719203741,2.717437451,2.75965566,2.787980577,
,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,GDEXPRD,TOT,PC_GDP,A,0.404290563,0.39107007,0.359716488,0.378400933,0.403759771,0.42074496,0.452155425,0.46006591,0.470544809,0.58705209,0.564050123,0.569338199,0.638878111,0.622336145,0.592492534,0.618540979,0.532743722,0,
,,,,,,,,,,,,,,,,,,,,,,,
